Interval=,0.1 s,,,,,,,
ExcelDateTime=,4.43E+04,47:56.7,,,,,,
TimeFormat=,StartOfBlock,,,,,,,
DateFormat=,,,,,,,,
ChannelTitle=,Finger Pressure,Systolic,Mean Arterial,Diastolic,Heart Rate,DCS 1cm,DCS 3cm,
Range=,400 mmHg,400 mmHg,400 mmHg,400 mmHg,400 beats/min,400 BFI,400 BFI,
14.4,92.75,145,107,91,66,2.10E-09,3.43E-09,
14.5,91.3,145,107,91,66,2.29E-09,6.21E-09,
14.6,118,145,107,91,66,3.11E-09,2.67E-09,
14.7,125.4,145,107,91,66,5.87E-09,9.69E-09,
14.8,103.3,145,107,91,66,3.91E-09,4.93E-09,
14.9,104.35,145,107,91,66,2.56E-09,5.11E-09,
15,99.65,145,107,91,66,2.29E-09,7.99E-09,
15.1,91.8,145.3,105.8,90.4,68.1,3.09E-09,4.97E-09,
15.2,90.55,146,103,89,73,3.06E-09,1.94E-09,
15.3,91.65,146,103,89,73,2.94E-09,4.05E-09,
15.4,135.55,146,103,89,73,3.82E-09,1.16E-08,
15.5,111.8,146,103,89,73,4.31E-09,1.04E-08,
15.6,100.15,146,103,89,73,3.52E-09,4.99E-09,
15.7,105.05,146,103,89,73,1.95E-09,5.08E-09,
15.8,94.1,146,103,89,73,2.23E-09,7.48E-09,
15.9,89.55,146,103,89,73,2.74E-09,4.35E-09,
16,87.7,146.05,103,89,73,2.52E-09,4.11E-09,
16.1,104.3,147,103,89,73,2.31E-09,4.76E-09,
16.2,133.75,147,103,89,73,6.05E-09,1.06E-08,
16.3,110.6,147,103,89,73,4.41E-09,7.77E-09,
16.4,101.8,147,103,89,73,2.62E-09,3.59E-09,
16.5,103.65,147,103,89,73,2.46E-09,5.59E-09,
16.6,92.35,147.3,103.3,89.6,75.4,2.83E-09,4.03E-09,
16.7,89.35,148,103.4,91,79.8,2.59E-09,3.53E-09,
16.8,87.5,148,103,91,79,2.02E-09,3.86E-09,
16.9,107.85,148,103,91,79,2.07E-09,4.91E-09,
17,133.25,148,103,91,79,6.73E-09,6.93E-09,
17.1,112.1,148,103,91,79,5.49E-09,8.59E-09,
17.2,102.3,148,103,91,79,2.40E-09,5.35E-09,
17.3,103.5,148,103,91,79,1.70E-09,3.12E-09,
17.4,92.3,146.05,102.35,89.05,78.35,2.20E-09,4.54E-09,
17.5,89.85,145,102,88,78,2.27E-09,3.92E-09,
17.6,90.8,145,102,88,78,2.43E-09,3.13E-09,
17.7,134.15,145,102,88,78,3.76E-09,1.08E-08,
17.8,115.45,145,102,88,78,5.26E-09,1.20E-08,
17.9,102,145,102,88,78,4.00E-09,7.06E-09,
18,105.1,145,102,88,78,1.82E-09,5.46E-09,
18.1,95.35,145,102,88,78,2.69E-09,8.39E-09,
18.2,90.1,145,102.7,87.3,75.9,2.57E-09,3.84E-09,
18.3,89.75,145,103,87,75,3.09E-09,3.48E-09,
18.4,131.45,145,103,87,75,4.31E-09,9.19E-09,
18.5,114.65,145,103,87,75,5.69E-09,8.08E-09,
18.6,99.6,145,103,87,75,3.74E-09,5.39E-09,
18.7,103.8,145,103,87,75,2.08E-09,4.16E-09,
18.8,93.8,145,103,87,75,2.56E-09,7.93E-09,
18.9,89.4,145,103,87,75,2.48E-09,3.47E-09,
19,87.7,145,103,87,75,2.79E-09,3.69E-09,
19.1,114.05,145,103,87,75,2.37E-09,5.54E-09,
19.2,121.85,143.2,103,87,75,4.65E-09,1.21E-08,
19.3,97.65,143,103,87,75,3.65E-09,5.27E-09,
19.4,102.35,143,103,87,75,2.66E-09,8.75E-09,
19.5,95.65,143,103,87,75,2.23E-09,6.29E-09,
19.6,89.2,143.2,103.4,87.4,76,2.39E-09,3.83E-09,
19.7,88,144,105,89,80,2.11E-09,4.61E-09,
19.8,109.1,144,104.55,89,82.25,2.79E-09,3.26E-09,
19.9,127.7,144,104,89,85,5.94E-09,1.20E-08,
20,101.8,144,104,89,85,3.37E-09,1.07E-08,
20.1,102.4,144,104,89,85,3.63E-09,6.77E-09,
20.2,98.8,144,104,89,85,2.14E-09,5.31E-09,
20.3,90.9,144,104,89,85,2.21E-09,4.09E-09,
20.4,89.2,144.8,102.4,88.2,81.8,2.27E-09,5.08E-09,
20.5,114.7,145,102,88,81,2.37E-09,4.70E-09,
20.6,126.35,145,102,88,81,6.63E-09,1.13E-08,
20.7,102.5,145,102,88,81,3.91E-09,7.22E-09,
20.8,102.3,145,102,88,81,2.94E-09,4.22E-09,
20.9,98.2,145,102,88,81,2.30E-09,5.79E-09,
21,89.85,145,102,88,81,3.49E-09,4.31E-09,
21.1,88.35,145,102,88,81,3.22E-09,3.74E-09,
21.2,99.85,145.2,102,88,81,2.39E-09,3.76E-09,
21.3,135,147,102,88,81,4.97E-09,1.27E-08,
21.4,109.65,147,102,88,81,4.19E-09,7.62E-09,
21.5,100.1,147,102,88,81,3.39E-09,4.71E-09,
21.6,103.05,147,102,88,81,1.83E-09,1.21E-08,
21.7,91.3,147,102,88,81,3.16E-09,5.82E-09,
21.8,88.3,148.7,101.15,88,84.4,2.67E-09,3.44E-09,
21.9,86.85,149,102.3,88,86.3,2.67E-09,4.02E-09,
22,95,149,103,88,87,2.85E-09,4.18E-09,
22.1,137.75,149,103,88,87,5.99E-09,1.04E-08,
22.2,112.55,149,103,88,87,4.70E-09,9.78E-09,
22.3,100.8,149,103,88,87,3.53E-09,8.05E-09,
22.4,104.2,149,103,88,87,2.39E-09,4.26E-09,
22.5,92.6,147.35,102.45,88,84.25,2.90E-09,4.24E-09,
22.6,88.45,146,102,88,82,2.59E-09,3.80E-09,
22.7,87.4,146,102,88,82,1.98E-09,4.49E-09,
22.8,85.1,146,102,88,82,2.39E-09,3.48E-09,
22.9,125.9,146,102,88,82,2.97E-09,7.00E-09,
23,117.35,146,102,88,82,4.94E-09,8.82E-09,
23.1,102.25,146,102,88,82,2.97E-09,6.19E-09,
23.2,102.35,146,102,88,82,1.89E-09,6.06E-09,
23.3,95.65,145.7,101.9,87.9,81.2,2.78E-09,6.99E-09,
23.4,88.25,143,101,87,74,2.72E-09,4.71E-09,
23.5,86.75,143,101,87,74,2.82E-09,4.59E-09,
23.6,84.5,143,101,87,74,2.09E-09,4.98E-09,
23.7,103.15,143,101,87,74,2.63E-09,5.20E-09,
23.8,127.5,143,101,87,74,6.49E-09,1.24E-08,
23.9,103.1,143,101,87,74,3.96E-09,5.92E-09,
24,98.35,143,101,87,74,1.96E-09,4.71E-09,
24.1,98.85,143,101,87,74,1.63E-09,5.56E-09,
24.2,88.4,143,101,87,74,2.66E-09,4.01E-09,
24.3,86.3,143,101,87,74,2.58E-09,3.30E-09,
24.4,84.75,139,100.2,85.4,71.6,2.01E-09,3.28E-09,
24.5,99.95,138,100,85,71,2.15E-09,3.42E-09,
24.6,124.45,138,100,85,71,5.76E-09,1.09E-08,
24.7,97.45,138.85,100,85,71,3.83E-09,5.83E-09,
24.8,97.65,139,100,85,71,2.03E-09,3.91E-09,
24.9,96.65,139,100,85,71,2.22E-09,5.80E-09,
25,87.3,139,100,84.65,71,2.16E-09,4.48E-09,
25.1,86.25,139,100,84,71,2.52E-09,3.37E-09,
25.2,84.35,139,100,84,71,2.46E-09,3.29E-09,
25.3,106.25,139,100,84,71,1.82E-09,3.51E-09,
25.4,121.95,139,100,84,71,5.42E-09,1.11E-08,
