Column1,Column2,Column3,Column4,Column5
Interval=,0.05 s,,,
ExcelDateTime=,4.4355478776009855e+004,8/06/2021 11:29:26.247252,,
TimeFormat=,StartOfBlock,,,
DateFormat=,,,,
ChannelTitle=,TCD,DCS/trNIRS,ECG,HR
Range=,10.000 V,5.000 V,20.000 mV,105.5050 BPM
UnitName=,cm/s,*,*,*
TopValue=,160.00,*,*,*
BottomValue=,-160.00,*,*,*
58.45,60.3572,5.004641,-0.01885553,77.05255
58.5,56.8251,5.004628,-0.05000479,77.05255
58.55,53.6855,5.004597,0.2131336,78.09908
58.6,53.3091,5.0046,-0.07221143,80.19214
58.65,51.7423,5.004597,-0.03506355,80.19214
58.7,50.1442,5.004541,-0.01228348,80.19214
58.75,58.3083,5.004481,0.03821343,80.19214
58.8,85.914,5.004547,0.1458412,80.19214
58.85,89.5855,5.004509,0.01392369,80.19214
58.9,81.685,5.004641,-0.0857345,80.19214
58.95,75.643,5.004566,-0.08236466,80.19214
59,66.2651,5.004587,-0.07419785,80.19214
59.05,62.5345,5.004562,-0.06845426,80.19214
59.1,64.2576,5.004506,-0.07029565,80.19214
59.15,64.2115,5.0046,-0.07084406,80.19214
59.2,59.4734,5.00475,-0.0401984,80.19214
59.25,55.2796,5.004666,-0.07906533,80.19214
59.3,52.4563,5.004594,0.2021818,79.45351
59.35,50.4118,5.004603,-0.09289007,77.97625
59.4,47.5353,5.00455,-0.04818017,77.97625
59.45,46.1858,5.004544,-0.02308853,77.97625
59.5,55.1835,5.004572,0.0349063,77.97625
59.55,79.7948,5.004584,0.1504078,77.97625
59.6,83.8712,5.004584,0.008126472,77.97625
59.65,76.068,5.004631,-0.07483185,77.97625
59.7,77.1897,5.0045,-0.06119897,77.97625
59.75,67.5012,5.004475,-0.05087468,77.97625
59.8,62.1453,5.004656,-0.04368876,77.97625
59.85,66.3103,5.004647,-0.04923233,77.97625
59.9,65.2851,5.004684,-0.03895787,77.97625
59.95,61.7879,5.004619,-0.02267906,77.97625
60,57.9832,5.004615,-0.02739547,77.97625
60.05,55.9068,5.004609,0.1692076,75.92174
60.1,53.4788,5.004634,0.000801004,71.81272
60.15,52.6445,5.004456,-0.0456691,71.81272
60.2,50.0411,5.004594,-0.02803193,71.81272
60.25,55.3668,5.004375,-0.008166207,71.81272
60.3,82.729,5.004544,0.08451269,71.81272
60.35,92.1354,5.004572,0.07780719,71.81272
60.4,85.1496,5.004631,-0.07282596,71.81272
60.45,83.1558,5.004644,-0.08999899,71.81272
60.5,80.703,5.004569,-0.08156679,71.81272
60.55,67.2832,5.004584,-0.06903872,71.81272
60.6,66.7207,5.0046,-0.07503613,71.81272
60.65,69.7442,5.004603,-0.0725339,71.81272
60.7,66.143,5.004547,-0.07557157,71.81272
60.75,64.7022,5.004544,-0.07493665,71.81272
60.8,60.2303,5.004644,-0.04443842,71.81272
60.85,57.1567,5.004556,-0.07025162,71.81272
60.9,55.4821,5.004716,0.2021026,71.08091
60.95,53.9076,5.004609,-0.102497,69.61727
61,51.0137,5.004575,-0.06280434,69.61727
61.05,50.2099,5.004559,-0.03592037,69.61727
61.1,59.3154,5.004594,-0.004632395,69.61727
61.15,88.3847,5.004587,0.1071004,69.61727
61.2,91.255,5.004572,0.03252822,69.61727
