Interval=	0.1 s						
ExcelDateTime=	4.43E+04	47:56.7					
TimeFormat=	StartOfBlock						
DateFormat=							
ChannelTitle=	Finger Pressure	Systolic	Mean Arterial	Diastolic	Heart Rate	DCS 1cm (e-09)	DCS 3cm (e-09)
Range=	400 mmHg	400 mmHg	400 mmHg	400 mmHg	400 beats/min	400 BFI	400 BFI
17.6	90.8	145	102	88	78	2.426234677	3.133954601
17.7	134.15	145	102	88	78	3.758304105	10.82890884
17.8	115.45	145	102	88	78	5.260810452	12.03816942
17.9	102	145	102	88	78	4.00497933	7.063351367
18	105.1	145	102	88	78	1.819444207	5.457943059
18.1	95.35	145	102	88	78	2.685469188	8.394159016
18.2	90.1	145	102.7	87.3	75.9	2.572296654	3.838494246
18.3	89.75	145	103	87	75	3.086441835	3.47805462
18.4	131.45	145	103	87	75	4.309383516	9.194041959
18.5	114.65	145	103	87	75	5.691770194	8.077249712
18.6	99.6	145	103	87	75	3.742511327	5.386945396
18.7	103.8	145	103	87	75	2.080506284	4.163811923
18.8	93.8	145	103	87	75	2.560485749	7.928150914
18.9	89.4	145	103	87	75	2.476668504	3.468154548
19	87.7	145	103	87	75	2.786765072	3.691205813
19.1	114.05	145	103	87	75	2.366449195	5.542212874
19.2	121.85	143.2	103	87	75	4.650933223	12.09385338
19.3	97.65	143	103	87	75	3.646784075	5.271928593
19.4	102.35	143	103	87	75	2.658535217	8.748289781
19.5	95.65	143	103	87	75	2.231045471	6.290750789
19.6	89.2	143.2	103.4	87.4	76	2.385042666	3.829155193
19.7	88	144	105	89	80	2.112240601	4.60999446
19.8	109.1	144	104.55	89	82.25	2.787671074	3.255998935
19.9	127.7	144	104	89	85	5.93616761	12.01061289
20	101.8	144	104	89	85	3.36888167	10.6617686
20.1	102.4	144	104	89	85	3.627091785	6.767659649
20.2	98.8	144	104	89	85	2.136412495	5.31270168
20.3	90.9	144	104	89	85	2.206634081	4.094866581
20.4	89.2	144.8	102.4	88.2	81.8	2.267614786	5.075153259
20.5	114.7	145	102	88	81	2.367240198	4.699175132
20.6	126.35	145	102	88	81	6.627101767	11.30941276
20.7	102.5	145	102	88	81	3.909916197	7.220463515
20.8	102.3	145	102	88	81	2.939870012	4.2192428
20.9	98.2	145	102	88	81	2.301353762	5.791242739
21	89.85	145	102	88	81	3.487936595	4.314201651
21.1	88.35	145	102	88	81	3.21929555	3.744662234
21.2	99.85	145.2	102	88	81	2.38534498	3.761147349
21.3	135	147	102	88	81	4.974164657	12.67390651
21.4	109.65	147	102	88	81	4.194930057	7.619201819
21.5	100.1	147	102	88	81	3.391540469	4.713932772
21.6	103.05	147	102	88	81	1.831843147	12.10737982
21.7	91.3	147	102	88	81	3.159914321	5.821786639
21.8	88.3	148.7	101.15	88	84.4	2.672626313	3.438664458
21.9	86.85	149	102.3	88	86.3	2.673068171	4.022153069
22	95	149	103	88	87	2.849318909	4.17814169
22.1	137.75	149	103	88	87	5.988778878	10.42642966
22.2	112.55	149	103	88	87	4.702301206	9.784815044
22.3	100.8	149	103	88	87	3.532703322	8.046982604
22.4	104.2	149	103	88	87	2.388071926	4.263194793
22.5	92.6	147.35	102.45	88	84.25	2.895122672	4.244450465
22.6	88.45	146	102	88	82	2.585498021	3.799008163
22.7	87.4	146	102	88	82	1.984729029	4.489128681
22.8	85.1	146	102	88	82	2.387994462	3.480105485
22.9	125.9	146	102	88	82	2.974919731	6.99903273
23	117.35	146	102	88	82	4.939594706	8.824506634
23.1	102.25	146	102	88	82	2.972344946	6.188244615
23.2	102.35	146	102	88	82	1.887409384	6.056352087
23.3	95.65	145.7	101.9	87.9	81.2	2.776819469	6.994035382
23.4	88.25	143	101	87	74	2.717827542	4.707710251
23.5	86.75	143	101	87	74	2.815394002	4.591171394
23.6	84.5	143	101	87	74	2.093573472	4.980508156
23.7	103.15	143	101	87	74	2.628044418	5.197673354
23.8	127.5	143	101	87	74	6.491367137	12.39809784
23.9	103.1	143	101	87	74	3.960929876	5.919217956
24	98.35	143	101	87	74	1.964309288	4.710461998
24.1	98.85	143	101	87	74	1.63014854	5.555474271
24.2	88.4	143	101	87	74	2.66193273	4.014459111
24.3	86.3	143	101	87	74	2.576276562	3.302670054
24.4	84.75	139	100.2	85.4	71.6	2.006497535	3.279204244
24.5	99.95	138	100	85	71	2.154412563	3.421534649
24.6	124.45	138	100	85	71	5.759418569	10.90727449
24.7	97.45	138.85	100	85	71	3.831733486	5.83048862
24.8	97.65	139	100	85	71	2.033330453	3.905391352
24.9	96.65	139	100	85	71	2.222709105	5.804553509
25	87.3	139	100	84.65	71	2.161575839	4.482568685
25.1	86.25	139	100	84	71	2.517847803	3.366539484
25.2	84.35	139	100	84	71	2.459963412	3.287180319
25.3	106.25	139	100	84	71	1.817759552	3.511731511
25.4	121.95	139	100	84	71	5.420782881	11.08502845
25.5	98.55	139	100	84	71	3.636505643	9.194589651
25.6	99.5	139	100	84	71	1.309412298	4.440121713
25.7	96.2	139	100	84	71	2.170120531	5.130510119
25.8	87.9	140.95	99.35	84	72.95	2.179449321	4.339627682
25.9	86.85	142	99	84	74	2.60664067	3.548898578
26	86.25	142	99	84	74	1.963088258	4.867959986
26.1	125.15	142	99	84	74	3.562451834	8.923225803
26.2	114.95	142	99	84	74	6.247970977	8.805829151
26.3	100.35	142	99	84	74	3.059120234	7.095867598
26.4	103.35	142	99	84	74	2.73426559	5.388226136
26.5	95.75	142	99	84	74	2.781625798	5.525895211
26.6	89	144.25	97.5	84	75.5	3.029539993	4.087697032
26.7	87.7	145	97	84	76	3.099369748	4.632275369
26.8	90.4	145	97	84	76	2.314900746	3.895633349
26.9	135	145	97	84	76	5.217506556	6.392684751
27	115.05	145	97	84	76	6.078097698	9.951685234
27.1	102.75	145	97	84	76	4.064795855	6.296032119
27.2	105.75	145	97	84	76	2.74645319	6.894397624
27.3	95.4	145	97	84	76	2.813870942	4.666731267
27.4	90.2	145	97	84	76	2.303897733	3.543463185
27.5	88.55	145.7	97.7	85.4	77.4	2.563793257	4.214442772
27.6	87.45	146	98	86	78	2.898929528	4.244125401
27.7	130.95	146	98	86	78	3.802784976	5.50899624
27.8	118.5	146	98	86	78	5.749798567	8.765503993
27.9	111.2	146	98	86	78	4.437030599	7.147825895
28	115.5	146	98	86	78	3.717293599	6.737653686
28.1	115.25	146	98.75	86	78	2.87206414	7.17733066
28.2	115.3	146	101	86	78	2.435047102	6.065603926
28.3	115.45	146	101	86	78	2.828221757	3.657722093
28.4	115.25	146	101	86	78	3.462157086	3.288969899
28.5	115.7	146	101	86	78	2.171792354	6.854909397
28.6	115.1	146	101	86	78	5.891048814	10.01502264
28.7	105.35	146	101	86	78	4.213209162	7.720249837
28.8	103.9	146	101	86	78	3.199687197	5.495317515
28.9	103.95	146.6	101.15	86	77.25	3.189590861	7.134028389
29	103.95	150	102	86	73	2.315887148	3.967796555
29.1	103.95	150	102	86	73	3.133108003	5.924519143
29.2	103.9	150	102	86	73	2.209805862	3.525429243
29.3	104.1	150	102	86	73	3.82471585	4.91247613
29.4	103.85	150	102	86	73	5.133146524	10.23737901
29.5	104.35	150	102	86	73	4.487599353	10.78556811
29.6	104	150	102	86	73	2.778094674	8.068609677
29.7	105.55	150	102	86	73	3.437915731	5.652492234
29.8	91.95	150	102	86	73	2.753204826	5.50770556
29.9	91.95	150	102	86	73	2.553031739	4.493721457
30	91.2	150	102	86	73	2.511774919	3.703761874
30.1	135.1	150	102	86	73	3.840304937	6.780149088
30.2	119.3	150	102	86	73	5.829795272	11.30138495
30.3	105.55	150	102	86	73	3.86166309	7.52270294
30.4	110.35	150	102	86	73	3.117911038	5.858686101
30.5	99.4	150	102	86	73	3.351548676	4.93071626
30.6	93.7	150.3	102.4	86.4	73.3	3.006761892	3.870868352
30.7	92.1	153	106	90	76	2.661606982	4.446767327
30.8	93.3	153	106	90	76	2.413452642	4.00476407
30.9	140.95	153	106	90	76	5.345438372	12.42072245
31	121.65	153	106	90	76	5.750818355	10.8776806
31.1	108.35	153.95	106	90	76	3.857518219	4.360154844
31.2	111.4	154	106	90	76	2.412783053	4.056731134
31.3	100.1	154	106	90	76	3.178551769	5.598714102
31.4	94.1	154	106	90	76	3.088693813	3.484455066
31.5	92.75	154	106	90	76	2.435378228	4.211378
31.6	89.7	154	106	90	76	1.932835066	2.863091308
31.7	121.45	154	106	90	76	3.205591275	7.356672689
31.8	132.5	154	106	90	76	6.503256993	14.6794899
31.9	115.4	153.75	106	90	76	4.34076264	12.2301783
32	108.55	153	106	90	76	3.17141011	5.007515919
32.1	106.1	153	106	90	76	1.712768464	3.984782885
32.2	95.95	153	106	90	76	2.420025398	3.917595686
32.3	93.35	153	106	90	76	2.710251139	4.192351965
32.4	91.9	153	106	90	76	2.060985997	2.795609284
32.5	90.2	153	106	90	76	1.764206409	4.170335364
32.6	137.65	153	106	90	76	3.431033331	4.510807596
32.7	121.75	153	106	90	76	6.17842278	11.29504157
32.8	108.3	153	106	90	76	3.768572348	5.187950448
32.9	109.8	153	106	90	76	2.453562237	5.358503941
33	99.1	148.75	106.85	90	71.75	3.127027833	5.758037069
33.1	92.6	148	107	90	71	2.805738402	3.791926704
33.2	90.95	148	107	90	71	1.948162998	2.647699059
33.3	88.95	148	107	90	71	2.528135323	3.614852184
33.4	89.35	148	107	90	71	2.2012383	3.272499348
33.5	135.4	148	107	90	71	3.786683483	10.32315117
33.6	112	148	107	90	71	4.414152383	7.374007179
33.7	101.15	148	107	90	71	2.415376064	3.395030541
33.8	106	147.7	106.85	89.85	70.7	2.245539737	5.496774158
33.9	94.5	146	106	89	69	2.111418143	4.439818708
34	89.95	146	106	89	69	2.866250177	3.933934846
34.1	88.9	146	106	89	69	2.176479987	4.355413617
34.2	86.5	146	106	89	69	1.899208063	5.570825001
34.3	112.85	146	106	89	69	1.990432047	3.494469327
34.4	123.8	146	106	89	69	5.663537167	12.48949238
34.5	101.65	146	106	89	69	3.578976017	7.151187034
34.6	102.1	146	106	89	69	2.248959406	4.473224435
34.7	98.1	146	106	89	69	1.741522461	6.127162863
34.8	89.45	146.9	105.1	88.55	68.1	2.155137906	3.614558843
34.9	88.25	148	104	88	67	2.073665967	3.350815831
35	87	148	104	88	67	1.574479507	3.991566917
35.1	121.95	148	104	88	67	2.51745856	7.673869155
35.2	120.15	148	104	88	67	6.03802675	8.823116654
35.3	100.95	148	104	88	67	3.509980731	7.568769782
35.4	101.55	148	104	88	67	2.156911498	5.69501077
35.5	96.15	148	104	88	67	2.547591025	5.241888027
35.6	88.65	148.8	101.6	87.2	70.2	2.599788694	4.452350879
35.7	87.9	149	101	87	71	2.176131754	3.314234833
35.8	88.45	149	101	87	71	1.732107604	3.004264196
35.9	134.8	149	101	87	71	4.312718838	7.736216404
36	113.15	149	101	87	71	4.075457018	10.7549228
36.1	100.6	149	101	87	71	3.569092513	6.655156632
36.2	104.95	149	101	87	71	2.051687064	7.035201827
36.3	94.8	149	101	87	71	2.835947393	5.419187912
36.4	89.7	147.2	101	86.1	75.5	2.74387262	4.291476117
36.5	89.4	147	101	86	76	2.384589659	3.488632218
36.6	87.6	147	101	86	76	2.210045963	4.76323899
36.7	130.05	147	101	86	76	3.685986304	11.12390848
36.8	114.15	147	101	86	76	5.397055624	12.14197658
36.9	102.1	147	101	86	76	3.390152336	5.782990128
37	101.7	147	101	86	76	1.993181791	8.715642127
37.1	94.85	146.7	101	86.15	76.15	2.106965445	6.388097935
37.2	87.45	145	101	87	77	2.719508017	4.76083556
37.3	86.8	145	101	87	77	2.768023551	4.115332593
