Interval=	0.05 s
ExcelDateTime=	4.4588648064983885e+004	27/01/2022 15:33:12.814608
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	BraBP	TCD (cm/s)	ETCO2	LBNP Pressure	MAP
Range=	10.000 V	10.000 V	100.0000 mmHg	200.0 mV	100.0000 mmHg
UnitName=	mmHg	cm/s	*	*	*
TopValue=	621.60	160	*	*	*
BottomValue=	-584.98	-160	*	*	*
26.7	76.3867	95.23147	0.2451875	1.92525	87.26527
26.75	74.99309	100.4042	0.2451875	1.924375	87.26527
26.8	75.91462	91.43648	0.2451875	1.9225	87.26527
26.85	98.60331	90.71213	0.2451875	1.925	87.26527
26.9	108.0505	83.14195	0.2624144	1.924	86.72485
26.95	104.8908	73.28278	0.2968681	1.928125	85.64401
27	98.20137	74.48595	0.2968681	1.93325	85.64401
27.05	91.58853	74.24534	0.2968681	1.92925	85.64401
27.1	85.76337	71.6298	0.2968681	1.93425	85.64401
27.15	85.95152	68.95133	0.2968681	1.928625	85.64401
27.2	88.08303	66.30187	0.2968681	1.929625	85.64401
27.25	87.71916	63.65722	0.2968681	1.9275	85.64401
27.3	85.11144	60.82548	0.2968681	1.92825	85.64401
27.35	82.03804	56.48813	0.2968681	1.93025	85.64401
27.4	79.79379	55.1646	0.2968681	1.928375	85.64401
27.45	78.19016	54.20355	0.2968681	1.9225	85.64401
27.5	76.72341	52.52185	0.2882547	1.92975	85.64401
27.55	75.54548	48.51285	0.2710278	1.933625	85.64401
27.6	74.64997	61.48199	0.2710278	1.9305	85.64401
27.65	73.60702	98.77805	0.2710278	1.926375	85.64401
27.7	72.64553	92.21924	0.2710278	1.927625	85.64401
27.75	85.12161	84.04497	0.2710278	1.938625	85.64401
27.8	106.5532	79.41609	0.2710278	1.935375	85.11298
27.85	105.468	71.35787	0.2710278	1.938	84.05093
27.9	99.12064	65.81954	0.2710278	1.936625	84.05093
27.95	92.50931	73.16062	0.2710278	1.936875	84.05093
28	86.12157	71.90133	0.2710278	1.938625	84.05093
28.05	83.68767	69.7344	0.2710278	1.935	84.05093
28.1	85.5409	67.1969	0.2710278	1.934625	84.05093
28.15	86.66227	64.85729	0.2710278	1.93725	84.05093
28.2	84.88784	61.00617	0.2710278	1.93175	84.05093
28.25	81.92718	60.64649	0.2710278	1.924875	84.05093
28.3	79.29268	57.03168	0.2710278	1.930875	84.05093
28.35	77.44736	53.30412	0.2710278	1.93725	84.05093
28.4	75.94101	50.77062	0.2710278	1.928	84.05093
28.45	74.58926	70.38681	0.2710278	1.93225	84.05093
28.5	73.62437	105.7276	0.2710278	1.93075	84.05093
28.55	72.84612	92.7611	0.2710278	1.929875	84.05093
28.6	71.78319	88.55251	0.2710278	1.926	84.05093
28.65	72.29184	83.2633	0.2710278	1.93	84.05093
28.7	93.59524	74.06515	0.2710278	1.92325	84.05093
28.75	104.8259	69.12861	0.2733769	1.925125	83.89287
28.8	100.9301	76.58924	0.2780752	1.92625	83.57676
28.85	92.58849	73.82454	0.2780752	1.925875	83.57676
28.9	86.32669	72.62317	0.2780752	1.9235	83.57676
28.95	81.00113	69.97511	0.2780752	1.927375	83.57676
29	81.7526	65.58193	0.2780752	1.9265	83.57676
29.05	85.1959	64.25641	0.2780752	1.927125	83.57676
29.1	85.1597	59.07936	0.2780752	1.927	83.57676
29.15	82.58703	59.56048	0.2780752	1.927375	83.57676
