Interval=	0.001 s
ExcelDateTime=	4.4588644429292355e+004	1/27/2022 15:27:58.69086
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	ECG	BraBP	TCD (cm/s)
Range=	100.00 mV	10.000 V	10.000 V
UnitName=	*	mmHg	cm/s
TopValue=	*	621.60	160
BottomValue=	*	-584.98	-160
57.177	1.496875	82.54065	69.19945
57.178	1.4375	82.46524	69.18444
57.179	1.409375	82.42754	69.18444
57.18	1.384375	82.38983	69.18944
57.181	1.43125	82.29557	69.19945
57.182	1.428125	82.31442	69.18944
57.183	1.421875	82.25786	69.17944
57.184	1.396875	82.33327	69.17944
57.185	1.365625	82.18245	69.17944
57.186	1.35	82.1636	69.17443
57.187	1.38125	82.08818	69.18944
57.188	1.378125	82.01277	69.18444
57.189	1.371875	82.01277	69.17944
57.19	1.378125	81.89966	69.19444
57.191	1.365625	81.86195	69.19444
57.192	1.396875	81.74883	69.19444
57.193	1.421875	81.72998	69.18444
57.194	1.425	81.57916	69.19945
57.195	1.40625	81.48489	69.18944
57.196	1.35625	81.46604	69.17944
57.197	1.403125	81.42833	69.17443
57.198	1.390625	81.33407	69.17443
57.199	1.428125	81.22095	69.18444
57.2	1.43125	81.2398	69.18944
57.201	1.378125	81.14554	70.69015
57.202	1.35625	81.03242	70.69515
57.203	1.346875	81.03242	70.69515
57.204	1.365625	80.90045	70.69515
57.205	1.409375	80.91931	70.69015
57.206	1.415625	80.80619	70.69015
57.207	1.396875	80.78734	70.69015
57.208	1.43125	80.63651	70.69015
57.209	1.44375	80.69307	70.69515
57.21	1.48125	80.61766	70.69015
57.211	1.478125	80.42913	70.69015
57.212	1.4875	80.39142	70.68015
57.213	1.475	80.2406	70.70016
57.214	1.43125	80.25945	70.69015
57.215	1.421875	80.16519	70.70016
57.216	1.4	80.14634	70.69515
57.217	1.45625	80.08978	66.16801
57.218	1.384375	79.99551	66.17802
57.219	1.3625	80.05207	66.17802
57.22	1.3875	80.03322	66.17301
57.221	1.428125	79.90125	66.16801
57.222	1.421875	79.84469	66.16801
57.223	1.428125	79.78813	66.16801
57.224	1.434375	79.71272	66.17301
57.225	1.403125	79.67502	66.16301
57.226	1.428125	79.63731	66.16301
57.227	1.51875	79.44878	66.16301
57.228	1.490625	79.52419	66.16301
57.229	1.446875	79.46763	66.17301
57.23	1.434375	79.52419	66.15801
57.231	1.434375	79.2414	66.18802
57.232	1.440625	79.26025	66.17802
57.233	1.453125	79.2414	66.17802
57.234	1.44375	79.14713	66.16301
57.235	1.4	79.07172	66.16801
57.236	1.38125	78.95861	66.17802
57.237	1.403125	79.01516	66.16801
57.238	1.415625	78.93975	66.16801
57.239	1.428125	78.80778	66.16801
57.24	1.409375	78.80778	66.17301
57.241	1.384375	78.69466	66.17301
57.242	1.384375	78.69466	66.16801
57.243	1.428125	78.50614	66.17802
57.244	1.428125	78.54384	66.17802
57.245	1.421875	78.43072	66.17301
57.246	1.41875	78.33646	66.16801
57.247	1.40625	78.31761	66.17301
57.248	1.396875	78.2799	66.17802
57.249	1.36875	78.2422	67.66872
57.25	1.45625	78.09137	67.67873
57.251	1.3875	78.11023	67.67372
57.252	1.3375	78.09137	67.67372
57.253	1.334375	77.99711	67.68873
57.254	1.3625	78.01596	67.67873
57.255	1.38125	77.90284	67.67873
57.256	1.38125	77.97826	67.67873
57.257	1.35625	77.82743	67.68373
57.258	1.359375	77.84628	67.68873
57.259	1.39375	77.67661	67.67873
57.26	1.409375	77.82743	67.67372
57.261	1.446875	77.67661	67.67372
57.262	1.421875	77.6389	67.67873
57.263	1.403125	77.65776	67.67873
57.264	1.403125	77.50693	67.67873
57.265	1.390625	77.56349	63.15658
57.266	1.421875	77.46923	63.17659
57.267	1.390625	77.43152	63.17159
57.268	1.346875	77.37496	63.16659
57.269	1.325	77.26185	63.16659
57.27	1.36875	77.22414	63.1816
57.271	1.36875	77.12988	63.1866
57.272	1.4125	77.14873	63.16659
57.273	1.428125	77.01676	63.16659
57.274	1.396875	77.05446	63.15658
57.275	1.415625	76.92249	63.16659
57.276	1.440625	76.92249	63.16659
57.277	1.453125	76.88479	63.16159
57.278	1.490625	76.84708	63.17659
57.279	1.440625	76.88479	63.17159
57.28	1.390625	76.80938	63.16659
57.281	1.396875	76.75282	61.66588
57.282	1.384375	76.6397	61.65587
57.283	1.403125	76.65855	61.67088
57.284	1.421875	76.62085	61.66088
57.285	1.359375	76.37576	61.65587
57.286	1.353125	76.50773	61.67088
57.287	1.378125	76.2815	61.66588
57.288	1.4125	76.35691	61.66588
57.289	1.421875	76.20608	61.65587
57.29	1.409375	76.20608	61.64587
57.291	1.403125	76.03641	61.67088
57.292	1.41875	76.14953	61.66088
57.293	1.4375	76.07411	61.66088
57.294	1.453125	76.05526	61.65587
57.295	1.45	76.01755	61.66588
57.296	1.434375	75.86673	61.67088
57.297	1.39375	75.90444	63.15658
57.298	1.415625	75.90444	63.17159
57.299	1.428125	75.75361	63.16659
57.3	1.440625	75.73476	63.17159
57.301	1.365625	75.6405	63.16659
57.302	1.340625	75.73476	63.15658
57.303	1.371875	75.6405	63.16159
57.304	1.39375	75.71591	63.17159
57.305	1.4	75.6782	63.17659
57.306	1.403125	75.65935	63.16659
57.307	1.378125	75.65935	63.16659
57.308	1.375	75.6405	63.1816
57.309	1.41875	75.60279	63.17659
57.31	1.428125	75.48967	63.16659
57.311	1.453125	75.52738	63.16159
57.312	1.453125	75.48967	63.16659
57.313	1.43125	75.33885	63.16659
57.314	1.390625	75.33885	63.16659
57.315	1.41875	75.18803	63.16159
57.316	1.434375	75.32	63.17159
57.317	1.409375	75.20688	63.16659
57.318	1.375	75.33885	63.16659
57.319	1.365625	75.20688	63.17659
57.32	1.38125	75.37656	63.17159
57.321	1.396875	75.18803	63.17659
57.322	1.4375	75.16917	63.15658
57.323	1.403125	75.13147	63.16659
57.324	1.390625	74.9995	63.16659
57.325	1.41875	74.96179	63.17659
57.326	1.45625	74.92409	63.17659
57.327	1.471875	74.92409	63.17159
57.328	1.49375	74.9995	63.16159
57.329	1.45	74.92409	63.16659
57.33	1.403125	74.9995	63.16659
57.331	1.43125	74.88638	63.17659
57.332	1.434375	75.01835	63.16659
57.333	1.446875	74.81097	63.17659
57.334	1.421875	74.92409	63.17659
57.335	1.34375	74.81097	63.15158
57.336	1.43125	74.75441	63.16159
57.337	1.403125	74.81097	63.16659
57.338	1.43125	74.69785	63.16659
57.339	1.45625	74.75441	63.16159
57.34	1.4625	74.66015	63.16659
57.341	1.475	74.64129	63.16159
57.342	1.484375	74.69785	63.17659
57.343	1.5125	74.54703	63.15658
57.344	1.521875	74.56588	63.17659
57.345	1.49375	74.50932	61.66088
57.346	1.45625	74.49047	61.66588
57.347	1.409375	74.32079	61.66088
57.348	1.434375	74.39621	61.65087
57.349	1.4125	74.32079	61.65587
57.35	1.428125	74.20768	61.66588
57.351	1.446875	74.18882	61.66588
57.352	1.44375	74.13227	61.66588
57.353	1.465625	74.16997	61.65587
57.354	1.565625	74.09456	61.66588
57.355	1.709375	74.09456	61.67088
